[baseline] 300 clean images
[0049e5b8-725e21a0.jpg] Left lines: 13, Right lines: 13
[5069db50-52f5af30.jpg] Left lines: 19, Right lines: 12
[50866f46-30d1f303.jpg] Left lines: 9, Right lines: 17
[50866f46-30d1f303.jpg] Left lines: 12, Right lines: 16
[50b115d6-4b08a666.jpg] Left lines: 16, Right lines: 12
[50b115d6-4b08a666.jpg] Left lines: 8, Right lines: 8
[50b2e757-6c7d0f63.jpg] Left lines: 11, Right lines: 16
[50b2e757-6c7d0f63.jpg] Left lines: 9, Right lines: 12
[50d0fd05-8db58ebd.jpg] Left lines: 2, Right lines: 0
[50d0fd05-8db58ebd.jpg] Left lines: 2, Right lines: 1
[510671e9-603795e0.jpg] Left lines: 13, Right lines: 32
[510671e9-603795e0.jpg] Left lines: 9, Right lines: 21
[514a6d58-0790e0cd.jpg] Left lines: 14, Right lines: 10
[514a6d58-0790e0cd.jpg] Left lines: 11, Right lines: 10
[5150bb50-300d52ce.jpg] Left lines: 7, Right lines: 13
[5150bb50-300d52ce.jpg] Left lines: 6, Right lines: 20
[52799e9e-8c8673f3.jpg] Left lines: 8, Right lines: 8
[52799e9e-8c8673f3.jpg] Left lines: 8, Right lines: 9
[52bda346-fd8ac6e7.jpg] Left lines: 3, Right lines: 17
[52bda346-fd8ac6e7.jpg] Left lines: 2, Right lines: 2
[534418ba-ee05398f.jpg] Left lines: 10, Right lines: 9
[534418ba-ee05398f.jpg] Left lines: 13, Right lines: 10
[54360b72-e00a3f70.jpg] Left lines: 17, Right lines: 16
[54360b72-e00a3f70.jpg] Left lines: 16, Right lines: 29
[554d7cd5-a32486dd.jpg] Left lines: 12, Right lines: 14
[554d7cd5-a32486dd.jpg] Left lines: 0, Right lines: 13
[559fed19-7893646f.jpg] Left lines: 5, Right lines: 9
[559fed19-7893646f.jpg] Left lines: 3, Right lines: 10
[57165857-e4d4a47f.jpg] Left lines: 1, Right lines: 0
[57165857-e4d4a47f.jpg] Left lines: 2, Right lines: 0
[5795bfe7-a599384a.jpg] Left lines: 4, Right lines: 6
[5795bfe7-a599384a.jpg] Left lines: 2, Right lines: 3
[57ac74e2-e86131f1.jpg] Left lines: 7, Right lines: 41
[57ac74e2-e86131f1.jpg] Left lines: 0, Right lines: 15
[57b495f2-6da6b1e5.jpg] Left lines: 3, Right lines: 2
[57b495f2-6da6b1e5.jpg] Left lines: 3, Right lines: 3
[585443c8-2621a6b1.jpg] Left lines: 8, Right lines: 8
[585443c8-2621a6b1.jpg] Left lines: 7, Right lines: 6
[5877b384-2545daf4.jpg] Left lines: 18, Right lines: 5
[5877b384-2545daf4.jpg] Left lines: 18, Right lines: 5
[587bb1bf-1aa00fe5.jpg] Left lines: 13, Right lines: 11
[587bb1bf-1aa00fe5.jpg] Left lines: 23, Right lines: 12
[5995c288-2d152172.jpg] Left lines: 12, Right lines: 0
[5995c288-2d152172.jpg] Left lines: 13, Right lines: 0
[59cde7c7-344bffb1.jpg] Left lines: 2, Right lines: 2
[59cde7c7-344bffb1.jpg] Left lines: 2, Right lines: 0
[5a8f9b5d-1fdfd2d4.jpg] Left lines: 20, Right lines: 24
[5a8f9b5d-1fdfd2d4.jpg] Left lines: 19, Right lines: 15
[5ae83f9c-da990b49.jpg] Left lines: 12, Right lines: 16
[5ae83f9c-da990b49.jpg] Left lines: 13, Right lines: 16
[5b2b4881-67a6cb87.jpg] Left lines: 7, Right lines: 1
[5b2b4881-67a6cb87.jpg] Left lines: 9, Right lines: 2
[5b2fd56a-37759b05.jpg] Left lines: 11, Right lines: 0
[5b2fd56a-37759b05.jpg] Left lines: 4, Right lines: 9
[5b4b0b07-2fb56b82.jpg] Left lines: 10, Right lines: 12
[5b4b0b07-2fb56b82.jpg] Left lines: 8, Right lines: 4
[5bc44a50-c371c4d0.jpg] Left lines: 12, Right lines: 11
[5bc44a50-c371c4d0.jpg] Left lines: 7, Right lines: 15
[5c4004b7-bf3b7941.jpg] Left lines: 10, Right lines: 8
[5c4004b7-bf3b7941.jpg] Left lines: 3, Right lines: 8
[5c534f5f-a76c7f4b.jpg] Left lines: 13, Right lines: 14
[5c534f5f-a76c7f4b.jpg] Left lines: 13, Right lines: 5
[5c5dc708-35460444.jpg] Left lines: 3, Right lines: 6
[5c5dc708-35460444.jpg] Left lines: 4, Right lines: 5
[5da6c6b6-76c54605.jpg] Left lines: 3, Right lines: 3
[5da6c6b6-76c54605.jpg] Left lines: 0, Right lines: 5
[5dc5141c-5890b5b1.jpg] Left lines: 1, Right lines: 13
[5dc5141c-5890b5b1.jpg] Left lines: 1, Right lines: 10
[5dd831da-bd00cf03.jpg] Left lines: 16, Right lines: 26
[5dd831da-bd00cf03.jpg] Left lines: 13, Right lines: 3
[5dfb063f-7bd23d5c.jpg] Left lines: 12, Right lines: 9
[5dfb063f-7bd23d5c.jpg] Left lines: 10, Right lines: 6
[5e0b701e-d443d8c2.jpg] Left lines: 5, Right lines: 10
[5e0b701e-d443d8c2.jpg] Left lines: 14, Right lines: 16
[5e26f49d-0bc53c7e.jpg] Left lines: 15, Right lines: 0
[5e26f49d-0bc53c7e.jpg] Left lines: 4, Right lines: 0
[5e26f49d-9271bf00.jpg] Left lines: 10, Right lines: 14
[5e26f49d-9271bf00.jpg] Left lines: 11, Right lines: 10
[5e625ec3-7b4fc682.jpg] Left lines: 14, Right lines: 16
[5e625ec3-7b4fc682.jpg] Left lines: 20, Right lines: 15
[5f9387ff-330136ae.jpg] Left lines: 16, Right lines: 3
[5f9387ff-330136ae.jpg] Left lines: 8, Right lines: 2
[5fa17a25-88b8e6b9.jpg] Left lines: 26, Right lines: 11
[5fa17a25-88b8e6b9.jpg] Left lines: 21, Right lines: 6
[5fa422e1-2d8dd765.jpg] Left lines: 24, Right lines: 3
[5fa422e1-2d8dd765.jpg] Left lines: 24, Right lines: 5
[5fb2a702-f56a339c.jpg] Left lines: 10, Right lines: 6
[5fb2a702-f56a339c.jpg] Left lines: 11, Right lines: 5
[6011831b-0992e205.jpg] Left lines: 18, Right lines: 5
[6011831b-0992e205.jpg] Left lines: 7, Right lines: 3
[60137cc0-428b8f5b.jpg] Left lines: 10, Right lines: 1
[60137cc0-428b8f5b.jpg] Left lines: 10, Right lines: 1
[604b5b3e-3c2e6b6b.jpg] Left lines: 11, Right lines: 9
[604b5b3e-3c2e6b6b.jpg] Left lines: 5, Right lines: 11
[6092f5a2-424550ba.jpg] Left lines: 15, Right lines: 16
[6092f5a2-424550ba.jpg] Left lines: 15, Right lines: 14
[60ba25dd-6c0df417.jpg] Left lines: 7, Right lines: 9
[60ba25dd-6c0df417.jpg] Left lines: 6, Right lines: 10
[60c678e7-4813ae0f.jpg] Left lines: 10, Right lines: 0
[60c678e7-4813ae0f.jpg] Left lines: 7, Right lines: 0
[614ecada-16b0f8b6.jpg] Left lines: 14, Right lines: 21
[614ecada-16b0f8b6.jpg] Left lines: 11, Right lines: 23
[61e4ad87-53ceb455.jpg] Left lines: 35, Right lines: 11
[61e4ad87-53ceb455.jpg] Left lines: 18, Right lines: 14
[6240d7b3-b51b5788.jpg] Left lines: 3, Right lines: 11
[6240d7b3-b51b5788.jpg] Left lines: 6, Right lines: 10
[62aefb36-b685117f.jpg] Left lines: 21, Right lines: 15
[62aefb36-b685117f.jpg] Left lines: 16, Right lines: 14
[634c1785-3bb9a8a2.jpg] Left lines: 12, Right lines: 13
[634c1785-3bb9a8a2.jpg] Left lines: 11, Right lines: 13
[634c1785-aeb1652f.jpg] Left lines: 21, Right lines: 11
[634c1785-aeb1652f.jpg] Left lines: 12, Right lines: 16
[63f73472-028615f1.jpg] Left lines: 17, Right lines: 14
[63f73472-028615f1.jpg] Left lines: 15, Right lines: 13
[6485ad0a-245d1600.jpg] Left lines: 22, Right lines: 11
[6485ad0a-245d1600.jpg] Left lines: 13, Right lines: 12
[648dc925-e359dbec.jpg] Left lines: 22, Right lines: 6
[648dc925-e359dbec.jpg] Left lines: 21, Right lines: 6
[65edc5a1-f309fed7.jpg] Left lines: 15, Right lines: 13
[65edc5a1-f309fed7.jpg] Left lines: 9, Right lines: 17
[661381d9-1114a810.jpg] Left lines: 13, Right lines: 6
[661381d9-1114a810.jpg] Left lines: 10, Right lines: 5
[664cb246-f84cfaf4.jpg] Left lines: 15, Right lines: 11
[664cb246-f84cfaf4.jpg] Left lines: 12, Right lines: 12
[675cf8fa-4b1ce8b9.jpg] Left lines: 19, Right lines: 13
[675cf8fa-4b1ce8b9.jpg] Left lines: 10, Right lines: 14
[67faeadf-eb09a636.jpg] Left lines: 0, Right lines: 8
[67faeadf-eb09a636.jpg] Left lines: 0, Right lines: 7
[691be377-5dbc29ee.jpg] Left lines: 4, Right lines: 10
[691be377-5dbc29ee.jpg] Left lines: 3, Right lines: 8
[692f1303-05178963.jpg] Left lines: 3, Right lines: 3
[692f1303-05178963.jpg] Left lines: 2, Right lines: 3
[692f9b08-bdbbd729.jpg] Left lines: 26, Right lines: 6
[692f9b08-bdbbd729.jpg] Left lines: 20, Right lines: 7
[69bfbe31-5ee2a642.jpg] Left lines: 29, Right lines: 15
[69bfbe31-5ee2a642.jpg] Left lines: 32, Right lines: 15
[69cf7667-68f59649.jpg] Left lines: 14, Right lines: 9
[69cf7667-68f59649.jpg] Left lines: 15, Right lines: 9
[69cf7667-7eb40860.jpg] Left lines: 17, Right lines: 7
[69cf7667-7eb40860.jpg] Left lines: 5, Right lines: 6
[6a44fb9a-05a3dd18.jpg] Left lines: 27, Right lines: 11
[6a44fb9a-05a3dd18.jpg] Left lines: 20, Right lines: 14
[6a793e80-4f5e207f.jpg] Left lines: 14, Right lines: 1
[6a793e80-4f5e207f.jpg] Left lines: 11, Right lines: 3
[6a82c0d6-b31f6b90.jpg] Left lines: 0, Right lines: 21
[6a82c0d6-b31f6b90.jpg] Left lines: 0, Right lines: 11
[6a8d218d-14e4fa28.jpg] Left lines: 4, Right lines: 12
[6a8d218d-14e4fa28.jpg] Left lines: 0, Right lines: 1
[6ad110c3-789e7724.jpg] Left lines: 28, Right lines: 10
[6ad110c3-789e7724.jpg] Left lines: 13, Right lines: 10
[6b15392a-3a1699fd.jpg] Left lines: 24, Right lines: 19
[6b15392a-3a1699fd.jpg] Left lines: 1, Right lines: 17
[6b784eee-0a5a2c89.jpg] Left lines: 24, Right lines: 13
[6b784eee-0a5a2c89.jpg] Left lines: 16, Right lines: 6
[6bb5a881-15e5c2c4.jpg] Left lines: 10, Right lines: 3
[6bb5a881-15e5c2c4.jpg] Left lines: 6, Right lines: 0
[6bd41587-d65ba5b4.jpg] Left lines: 5, Right lines: 4
[6bd41587-d65ba5b4.jpg] Left lines: 5, Right lines: 3
[6d0d7bef-fb11b6e1.jpg] Left lines: 13, Right lines: 10
[6d0d7bef-fb11b6e1.jpg] Left lines: 4, Right lines: 7
[6d57736c-a35808b9.jpg] Left lines: 8, Right lines: 5
[6d57736c-a35808b9.jpg] Left lines: 8, Right lines: 6
[6d8a6d94-00a7ad92.jpg] Left lines: 7, Right lines: 8
[6d8a6d94-00a7ad92.jpg] Left lines: 3, Right lines: 4
[6eeed3fa-87a1b0c9.jpg] Left lines: 5, Right lines: 13
[6eeed3fa-87a1b0c9.jpg] Left lines: 8, Right lines: 13
[701992bd-8a457895.jpg] Left lines: 14, Right lines: 16
[701992bd-8a457895.jpg] Left lines: 12, Right lines: 12
[7171644d-4e74752e.jpg] Left lines: 6, Right lines: 29
[7171644d-4e74752e.jpg] Left lines: 6, Right lines: 27
[7171644d-ee92c71e.jpg] Left lines: 12, Right lines: 20
[7171644d-ee92c71e.jpg] Left lines: 14, Right lines: 24
[72f22fa5-8af4615c.jpg] Left lines: 42, Right lines: 14
[72f22fa5-8af4615c.jpg] Left lines: 19, Right lines: 12
[72fd00fe-aeadfc89.jpg] Left lines: 10, Right lines: 17
[72fd00fe-aeadfc89.jpg] Left lines: 7, Right lines: 10
[730c67a5-563e9b1f.jpg] Left lines: 14, Right lines: 7
[730c67a5-563e9b1f.jpg] Left lines: 14, Right lines: 0
[738a2bcd-7a6fde0d.jpg] Left lines: 6, Right lines: 4
[738a2bcd-7a6fde0d.jpg] Left lines: 5, Right lines: 5
[73aff960-d46366ec.jpg] Left lines: 4, Right lines: 6
[73aff960-d46366ec.jpg] Left lines: 4, Right lines: 2
[73d338d6-edf0b3db.jpg] Left lines: 10, Right lines: 2
[73d338d6-edf0b3db.jpg] Left lines: 13, Right lines: 0
[75ad1fff-77299093.jpg] Left lines: 10, Right lines: 10
[75ad1fff-77299093.jpg] Left lines: 4, Right lines: 8
[75f5f52c-6b67e736.jpg] Left lines: 10, Right lines: 9
[75f5f52c-6b67e736.jpg] Left lines: 11, Right lines: 7
[777005a8-14c739ad.jpg] Left lines: 10, Right lines: 3
[777005a8-14c739ad.jpg] Left lines: 6, Right lines: 2
[7771e03b-832e52c0.jpg] Left lines: 0, Right lines: 16
[7771e03b-832e52c0.jpg] Left lines: 0, Right lines: 3
[7771e03b-a8f9d50c.jpg] Left lines: 19, Right lines: 10
[7771e03b-a8f9d50c.jpg] Left lines: 20, Right lines: 6
[7797fea2-c37f9856.jpg] Left lines: 8, Right lines: 15
[7797fea2-c37f9856.jpg] Left lines: 11, Right lines: 18
[77bdbeb0-edb0613f.jpg] Left lines: 15, Right lines: 5
[77bdbeb0-edb0613f.jpg] Left lines: 10, Right lines: 5
[77dca577-16a39ea0.jpg] Left lines: 10, Right lines: 6
[77dca577-16a39ea0.jpg] Left lines: 10, Right lines: 8
[77f810c4-43a39c1f.jpg] Left lines: 11, Right lines: 4
[77f810c4-43a39c1f.jpg] Left lines: 10, Right lines: 0
[7814206e-8e991d51.jpg] Left lines: 18, Right lines: 9
[7814206e-8e991d51.jpg] Left lines: 22, Right lines: 7
[7814206e-ea2508d0.jpg] Left lines: 22, Right lines: 8
[7814206e-ea2508d0.jpg] Left lines: 8, Right lines: 7
[79e177bc-4d5d3acc.jpg] Left lines: 21, Right lines: 16
[79e177bc-4d5d3acc.jpg] Left lines: 20, Right lines: 16
[7aa4ff0f-9d28d8a4.jpg] Left lines: 13, Right lines: 14
[7aa4ff0f-9d28d8a4.jpg] Left lines: 7, Right lines: 14
[7ad1174c-373265eb.jpg] Left lines: 3, Right lines: 3
[7ad1174c-373265eb.jpg] Left lines: 0, Right lines: 0
[7b268b98-e0ec16c3.jpg] Left lines: 3, Right lines: 7
[7b268b98-e0ec16c3.jpg] Left lines: 3, Right lines: 9
[7c5a2048-332896ea.jpg] Left lines: 14, Right lines: 10
[7c5a2048-332896ea.jpg] Left lines: 9, Right lines: 10
[7c5d50c5-7292de37.jpg] Left lines: 9, Right lines: 15
[7c5d50c5-7292de37.jpg] Left lines: 8, Right lines: 12
[7d1fe115-936a2f47.jpg] Left lines: 8, Right lines: 14
[7d1fe115-936a2f47.jpg] Left lines: 6, Right lines: 10
[7dc2914d-a20a969a.jpg] Left lines: 16, Right lines: 2
[7dc2914d-a20a969a.jpg] Left lines: 14, Right lines: 7
[7e4ab78b-4a62c63e.jpg] Left lines: 3, Right lines: 3
[7e4ab78b-4a62c63e.jpg] Left lines: 2, Right lines: 0
[7e590c49-93f03732.jpg] Left lines: 4, Right lines: 3
[7e590c49-93f03732.jpg] Left lines: 1, Right lines: 5
[7ed57d0a-d7bcc13d.jpg] Left lines: 18, Right lines: 16
[7ed57d0a-d7bcc13d.jpg] Left lines: 3, Right lines: 16
[7f0ef682-c93899df.jpg] Left lines: 2, Right lines: 9
[7f0ef682-c93899df.jpg] Left lines: 1, Right lines: 9
[7f4ac354-777de900.jpg] Left lines: 13, Right lines: 6
[7f4ac354-777de900.jpg] Left lines: 15, Right lines: 6
[7f9bdf0d-c0e0061f.jpg] Left lines: 14, Right lines: 0
[7f9bdf0d-c0e0061f.jpg] Left lines: 14, Right lines: 2
[7fd14da9-a855494b.jpg] Left lines: 22, Right lines: 18
[7fd14da9-a855494b.jpg] Left lines: 23, Right lines: 13
[801bff84-a72998c7.jpg] Left lines: 38, Right lines: 19
[801bff84-a72998c7.jpg] Left lines: 33, Right lines: 17
[8073de38-f7eab6ec.jpg] Left lines: 16, Right lines: 20
[8073de38-f7eab6ec.jpg] Left lines: 12, Right lines: 13
[8082ea05-1a7bcd47.jpg] Left lines: 15, Right lines: 29
[8082ea05-1a7bcd47.jpg] Left lines: 12, Right lines: 24
[80ecebc0-ca9605f4.jpg] Left lines: 3, Right lines: 5
[80ecebc0-ca9605f4.jpg] Left lines: 1, Right lines: 1
[81ec3b39-1951f79e.jpg] Left lines: 16, Right lines: 9
[81ec3b39-1951f79e.jpg] Left lines: 17, Right lines: 8
[82b14c0c-79b99258.jpg] Left lines: 14, Right lines: 15
[82b14c0c-79b99258.jpg] Left lines: 14, Right lines: 13
[82b5fc3b-90cadd1b.jpg] Left lines: 8, Right lines: 13
[82b5fc3b-90cadd1b.jpg] Left lines: 6, Right lines: 18
[82f03471-8e304dd5.jpg] Left lines: 3, Right lines: 12
[82f03471-8e304dd5.jpg] Left lines: 5, Right lines: 5
[836fa13a-d6058a12.jpg] Left lines: 15, Right lines: 8
[836fa13a-d6058a12.jpg] Left lines: 13, Right lines: 7
[84fb3f59-7d5d1fa4.jpg] Left lines: 3, Right lines: 13
[84fb3f59-7d5d1fa4.jpg] Left lines: 2, Right lines: 18
[8542b4da-7795bcfd.jpg] Left lines: 10, Right lines: 14
[8542b4da-7795bcfd.jpg] Left lines: 6, Right lines: 13
[85f3f250-1fef85ac.jpg] Left lines: 16, Right lines: 16
[85f3f250-1fef85ac.jpg] Left lines: 13, Right lines: 15
[87ca2979-d5158824.jpg] Left lines: 6, Right lines: 14
[87ca2979-d5158824.jpg] Left lines: 5, Right lines: 12
[889b7dda-77f16103.jpg] Left lines: 3, Right lines: 19
[889b7dda-77f16103.jpg] Left lines: 3, Right lines: 13
[88dbf01a-d8b35dee.jpg] Left lines: 14, Right lines: 2
[88dbf01a-d8b35dee.jpg] Left lines: 12, Right lines: 3
[897223bc-6938f1ab.jpg] Left lines: 7, Right lines: 6
[897223bc-6938f1ab.jpg] Left lines: 2, Right lines: 6
[89b7454d-880eacbd.jpg] Left lines: 3, Right lines: 6
[89b7454d-880eacbd.jpg] Left lines: 4, Right lines: 2
[89e85e71-7dd0a7b6.jpg] Left lines: 24, Right lines: 45
[89e85e71-7dd0a7b6.jpg] Left lines: 22, Right lines: 34
[8a4fbffe-47866ce9.jpg] Left lines: 3, Right lines: 3
[8a4fbffe-47866ce9.jpg] Left lines: 0, Right lines: 0
[8a76c101-8bcefc32.jpg] Left lines: 1, Right lines: 14
[8a76c101-8bcefc32.jpg] Left lines: 0, Right lines: 11
[8b7ef6c4-6bbcf25f.jpg] Left lines: 22, Right lines: 12
[8b7ef6c4-6bbcf25f.jpg] Left lines: 14, Right lines: 13
[8bac644e-e0437ead.jpg] Left lines: 0, Right lines: 2
[8bac644e-e0437ead.jpg] Left lines: 0, Right lines: 2
[8c94c649-8ba62efa.jpg] Left lines: 5, Right lines: 3
[8c94c649-8ba62efa.jpg] Left lines: 6, Right lines: 4
[8c9bbaa9-34934b66.jpg] Left lines: 11, Right lines: 11
[8c9bbaa9-34934b66.jpg] Left lines: 9, Right lines: 12
[degraded] rain level_3 (300 images)
[0049e5b8-725e21a0.jpg] Left lines: 9, Right lines: 12
[0049e5b8-725e21a0.jpg] Left lines: 12, Right lines: 12
[0081e27b-17bf4a9e.jpg] Left lines: 4, Right lines: 18
[0081e27b-17bf4a9e.jpg] Left lines: 2, Right lines: 11
[00beeb02-50440dcd.jpg] Left lines: 2, Right lines: 1
[00beeb02-50440dcd.jpg] Left lines: 2, Right lines: 2
[00d4b6b7-7d0a60bf.jpg] Left lines: 0, Right lines: 0
[00d4b6b7-7d0a60bf.jpg] Left lines: 0, Right lines: 0
[01118704-2d838d7f.jpg] Left lines: 9, Right lines: 12
[01118704-2d838d7f.jpg] Left lines: 9, Right lines: 7
[0115917e-14907a6a.jpg] Left lines: 12, Right lines: 11
[0115917e-14907a6a.jpg] Left lines: 15, Right lines: 13
[02188a44-65ad27f3.jpg] Left lines: 30, Right lines: 0
[02188a44-65ad27f3.jpg] Left lines: 38, Right lines: 0
[02494b7b-079febf8.jpg] Left lines: 16, Right lines: 14
[02494b7b-079febf8.jpg] Left lines: 12, Right lines: 8
[029ffd50-dc944dba.jpg] Left lines: 6, Right lines: 6
[029ffd50-dc944dba.jpg] Left lines: 8, Right lines: 8
[0464a98b-860229d5.jpg] Left lines: 9, Right lines: 32
[0464a98b-860229d5.jpg] Left lines: 9, Right lines: 19
[051aadb7-51aad566.jpg] Left lines: 8, Right lines: 0
[051aadb7-51aad566.jpg] Left lines: 4, Right lines: 0
[051aadb7-e953bc4d.jpg] Left lines: 19, Right lines: 14
[051aadb7-e953bc4d.jpg] Left lines: 11, Right lines: 14
[05743a9b-747658e7.jpg] Left lines: 8, Right lines: 18
[05743a9b-747658e7.jpg] Left lines: 2, Right lines: 15
[057af272-6f700aef.jpg] Left lines: 5, Right lines: 11
[057af272-6f700aef.jpg] Left lines: 0, Right lines: 10
[05d62296-30c620d5.jpg] Left lines: 10, Right lines: 5
[05d62296-30c620d5.jpg] Left lines: 8, Right lines: 0
[05e5a68e-f0e05a42.jpg] Left lines: 7, Right lines: 10
[05e5a68e-f0e05a42.jpg] Left lines: 8, Right lines: 7
[05fa6494-8f436d04.jpg] Left lines: 44, Right lines: 32
[05fa6494-8f436d04.jpg] Left lines: 16, Right lines: 16
[060039d9-5218402b.jpg] Left lines: 19, Right lines: 11
[060039d9-5218402b.jpg] Left lines: 17, Right lines: 14
[064aa0d6-f75ff4d5.jpg] Left lines: 10, Right lines: 9
[064aa0d6-f75ff4d5.jpg] Left lines: 11, Right lines: 8
[07de5062-ddddcbd7.jpg] Left lines: 1, Right lines: 4
[07de5062-ddddcbd7.jpg] Left lines: 2, Right lines: 4
[088351d1-30833ddc.jpg] Left lines: 16, Right lines: 6
[088351d1-30833ddc.jpg] Left lines: 14, Right lines: 5
[08a49c01-675d3899.jpg] Left lines: 16, Right lines: 19
[08a49c01-675d3899.jpg] Left lines: 13, Right lines: 18
[08d4285a-4a25b9b6.jpg] Left lines: 4, Right lines: 14
[08d4285a-4a25b9b6.jpg] Left lines: 4, Right lines: 12
[09ac21d6-eefa8ed0.jpg] Left lines: 18, Right lines: 17
[09ac21d6-eefa8ed0.jpg] Left lines: 7, Right lines: 17
[0a0a0b1a-7c39d841.jpg] Left lines: 4, Right lines: 12
[0a0a0b1a-7c39d841.jpg] Left lines: 7, Right lines: 11
[0af6039a-f3c91319.jpg] Left lines: 28, Right lines: 5
[0af6039a-f3c91319.jpg] Left lines: 10, Right lines: 4
[0b2f5d0d-8fddc1fc.jpg] Left lines: 19, Right lines: 20
[0b2f5d0d-8fddc1fc.jpg] Left lines: 16, Right lines: 15
[0b4225f9-bfb10f88.jpg] Left lines: 11, Right lines: 3
[0b4225f9-bfb10f88.jpg] Left lines: 16, Right lines: 4
[0ba08fe3-880ae118.jpg] Left lines: 5, Right lines: 19
[0ba08fe3-880ae118.jpg] Left lines: 5, Right lines: 11
[0c2f33b9-f94d69b5.jpg] Left lines: 25, Right lines: 13
[0c2f33b9-f94d69b5.jpg] Left lines: 11, Right lines: 11
[0c984e6d-2b5d7ee4.jpg] Left lines: 6, Right lines: 5
[0c984e6d-2b5d7ee4.jpg] Left lines: 5, Right lines: 5
[0cb67a01-7cf1687e.jpg] Left lines: 15, Right lines: 2
[0cb67a01-7cf1687e.jpg] Left lines: 18, Right lines: 0
[0cc6f3e8-b4c9e348.jpg] Left lines: 11, Right lines: 23
[0cc6f3e8-b4c9e348.jpg] Left lines: 10, Right lines: 14
[0cf398b3-ce65ab64.jpg] Left lines: 7, Right lines: 2
[0cf398b3-ce65ab64.jpg] Left lines: 7, Right lines: 11
[0d3ec56a-f4cead6f.jpg] Left lines: 8, Right lines: 18
[0d3ec56a-f4cead6f.jpg] Left lines: 0, Right lines: 15
[0d61234a-542010b2.jpg] Left lines: 11, Right lines: 15
[0d61234a-542010b2.jpg] Left lines: 16, Right lines: 15
[0e442b65-b17e0b50.jpg] Left lines: 10, Right lines: 5
[0e442b65-b17e0b50.jpg] Left lines: 9, Right lines: 3
[0e5c7e92-0d9c60f0.jpg] Left lines: 10, Right lines: 14
[0e5c7e92-0d9c60f0.jpg] Left lines: 13, Right lines: 15
[0f837def-9646c091.jpg] Left lines: 10, Right lines: 9
[0f837def-9646c091.jpg] Left lines: 6, Right lines: 8
[0fba84f9-73b520ee.jpg] Left lines: 15, Right lines: 13
[0fba84f9-73b520ee.jpg] Left lines: 11, Right lines: 12
[101a0964-930eae70.jpg] Left lines: 9, Right lines: 12
[101a0964-930eae70.jpg] Left lines: 8, Right lines: 12
[10389fe8-433c740c.jpg] Left lines: 13, Right lines: 4
[10389fe8-433c740c.jpg] Left lines: 5, Right lines: 0
[10453a95-40759ac3.jpg] Left lines: 5, Right lines: 17
[10453a95-40759ac3.jpg] Left lines: 5, Right lines: 8
[1072195f-0a161ade.jpg] Left lines: 19, Right lines: 16
[1072195f-0a161ade.jpg] Left lines: 22, Right lines: 17
[1072195f-6cf88b25.jpg] Left lines: 8, Right lines: 12
[1072195f-6cf88b25.jpg] Left lines: 10, Right lines: 10
[11513e3d-150058c3.jpg] Left lines: 12, Right lines: 18
[11513e3d-150058c3.jpg] Left lines: 9, Right lines: 12
[1189ae68-1a8ad3c6.jpg] Left lines: 11, Right lines: 7
[1189ae68-1a8ad3c6.jpg] Left lines: 13, Right lines: 9
[12076ebb-c07285d7.jpg] Left lines: 7, Right lines: 10
[12076ebb-c07285d7.jpg] Left lines: 7, Right lines: 13
[125134e5-7dfc45b9.jpg] Left lines: 6, Right lines: 8
[125134e5-7dfc45b9.jpg] Left lines: 3, Right lines: 3
[12ae9ab8-794f5adc.jpg] Left lines: 30, Right lines: 11
[12ae9ab8-794f5adc.jpg] Left lines: 16, Right lines: 12
[13f61134-50021e53.jpg] Left lines: 3, Right lines: 4
[13f61134-50021e53.jpg] Left lines: 1, Right lines: 2
[14eace5a-ddf3b303.jpg] Left lines: 29, Right lines: 7
[14eace5a-ddf3b303.jpg] Left lines: 22, Right lines: 0
[1608cfe7-32da2c5d.jpg] Left lines: 2, Right lines: 6
[1608cfe7-32da2c5d.jpg] Left lines: 2, Right lines: 4
[162995f1-d2c7d259.jpg] Left lines: 14, Right lines: 9
[162995f1-d2c7d259.jpg] Left lines: 13, Right lines: 3
[16b0973f-c07b564a.jpg] Left lines: 27, Right lines: 4
[16b0973f-c07b564a.jpg] Left lines: 12, Right lines: 4
[1784d67b-6b223914.jpg] Left lines: 12, Right lines: 11
[1784d67b-6b223914.jpg] Left lines: 6, Right lines: 14
[1784d67b-d76145ce.jpg] Left lines: 7, Right lines: 12
[1784d67b-d76145ce.jpg] Left lines: 8, Right lines: 11
[188c58f3-792afc71.jpg] Left lines: 5, Right lines: 15
[188c58f3-792afc71.jpg] Left lines: 6, Right lines: 21
[193f7f3b-84bc7998.jpg] Left lines: 10, Right lines: 12
[193f7f3b-84bc7998.jpg] Left lines: 4, Right lines: 8
[194058b0-ac0616a6.jpg] Left lines: 12, Right lines: 6
[194058b0-ac0616a6.jpg] Left lines: 4, Right lines: 4
[19e56249-09c4bbc6.jpg] Left lines: 0, Right lines: 0
[19e56249-09c4bbc6.jpg] Left lines: 0, Right lines: 0
[1a71faae-d5f255fd.jpg] Left lines: 14, Right lines: 11
[1a71faae-d5f255fd.jpg] Left lines: 14, Right lines: 9
[1a8992a7-da5a8510.jpg] Left lines: 9, Right lines: 3
[1a8992a7-da5a8510.jpg] Left lines: 4, Right lines: 7
[1ac0178c-0b259360.jpg] Left lines: 0, Right lines: 0
[1ac0178c-0b259360.jpg] Left lines: 0, Right lines: 0
